# Converted from eigencrow/IBMTTSDictionaries US-English files.
# Source data is CC0-1.0. Columns: spelling, kind, priority:value.
abiogenist	phonetic	fallback:"EYbAY'AAdZHIXnIXst
abiogenous	phonetic	fallback:"EYbAY'AAdZHIXnAXs
abiologic	phonetic	fallback:"EYb"AYAXl'AAdZHIXk
abiology	phonetic	fallback:"EYbAY'AAlAXdZHIY
abioseston	phonetic	fallback:"EYb"AYOWs'EHstIXn
abiosis	phonetic	fallback:"EYbAY'OWsIXs
abiotic	phonetic	fallback:"EYbAY'AADXIXk
abiotrophic	phonetic	fallback:"EYb"AYOWtr'AAfIXk
abiotrophy	phonetic	fallback:"EYbAY'AAtrAXfIY
abipon	phonetic	fallback:'AEbIXp"AAn
abiraterone	phonetic	fallback:"AEbIXr'AEDXAXr"OWn
abitur	phonetic	fallback:"AAbIXt'UWr
abjad	phonetic	fallback:'AEbdZHAEd
abjudge	phonetic	fallback:AXbdZH'AHdZH
abkar	phonetic	fallback:'AAbk"AAr
abkari	phonetic	fallback:"AAbk'AArIY
abkaris	phonetic	fallback:"AAbk'AArIYz
abkhaz	phonetic	fallback:"AEbk'AAz
abkhazia	phonetic	fallback:"AEbk'AAzIYAX
abkhazian	phonetic	fallback:"AEbk'EYzIYIXn
ablactation	phonetic	fallback:"AEblAEkt'EYSHIXn
ablastemic	phonetic	fallback:"EYbl"AEst'IYmIXk
ablastin	phonetic	fallback:AXbl'AEstIXn
ableist	phonetic	fallback:'EYbAXlIXst
ablepsy	phonetic	fallback:'AEbl"EHpsIY
ablesplain	phonetic	fallback:'EYbAXlspl"EYn
abloh	phonetic	fallback:'AAblOW
abnakis	phonetic	fallback:AXbn'AAkIYz
abneural	phonetic	fallback:"AEbn'UWrAXl
abneurally	phonetic	fallback:"AEbn'UWrAXlIY
abnormality	phonetic	fallback:"AEbn"AArm'AElIXDXIY
abobotulinum	phonetic	fallback:"AEbAXb"AAtSHIXl'AYnAXm
abobotulinumtoxin	phonetic	fallback:"AEbAXb"AAtSHIXl"AYnAXmt'AAksIXn
aboil	phonetic	fallback:AXb'OYl
abomasa	phonetic	fallback:"AEbAXm'EYsAX
abomasal	phonetic	fallback:"AEbAXm'EYsAXl
abomasitis	phonetic	fallback:"AEbOWmAXs'AYDXIXs
abomasum	phonetic	fallback:"AEbAXm'EYsAXm
abonné	phonetic	fallback:"AEbAXn'EY
aborad	phonetic	fallback:AXb'AAr"AEd
aboral	phonetic	fallback:AXb'AArAXl
aborally	phonetic	fallback:AXb'AArIXlIY
abortorium	phonetic	fallback:AXb"AArt'OWrIYAXm
aboulia	phonetic	fallback:"EYb'UWlIYAX
aboulic	phonetic	fallback:"EYb'UWlIXk
aboulomania	phonetic	fallback:AXb"UWlAXm'EYnIYAX
abousabe	phonetic	fallback:"AAbUWs'AAbIY
abraar	phonetic	fallback:AXbr'AAr
abrachia	phonetic	fallback:"EYbr'AEkIYAX
abradant	phonetic	fallback:AXbr'EYDXIXnt
abrahamian	phonetic	fallback:"EYbrAXh'EYmIYIXn
abrahamic	phonetic	fallback:"EYbrAXh'AEmIXk
abrahamsson	phonetic	fallback:"EYbrAXh'AEmsIXn
abranchial	phonetic	fallback:"EYbr'AENGkIYAXl
abranchiate	phonetic	fallback:"EYbr'AENGkIYIXt
abranchious	phonetic	fallback:"EYbr'AENGkIYAXs
abrasiometer	phonetic	fallback:AXbr"EYzIY'AAmIXDXER
abreact	phonetic	fallback:"AEbrIY'AEkt
abreaction	phonetic	fallback:"AEbrIY'AEkSHIXn
abreactive	phonetic	fallback:"AEbrIY'AEktIXv
abristle	phonetic	fallback:AXbr'IHsAXl
abrogative	phonetic	fallback:'AEbrAXgAXDXIXv
abrokyire	phonetic	fallback:AXbr'OWtSHIXrEY
abrosexual	phonetic	fallback:"AEbrOWs'EHkSHUWAXl
abrosexuality	phonetic	fallback:"AEbrOWs"EHkSHUW'AElIXDXIY
abrosia	phonetic	fallback:"EYbr'OWZHAX
abruzzi	phonetic	fallback:"AAbr'UWtsIY
abrysvo	phonetic	fallback:AXbr'IYzvOW
ABS	text	override:ay bea ess
absaroka	phonetic	fallback:"AEbs'AArAXkAX
absaroke	phonetic	fallback:"AEbs'AArIXkAX
abscise	phonetic	fallback:"AEbs'AYz
abscisic	phonetic	fallback:"AEbs'IHzIXk
absciss	phonetic	fallback:"AEbs'IHs
abscission	phonetic	fallback:"AEbs'IHZHAXn
abscopal	phonetic	fallback:"AEbshk'OWpAXl
absentia	phonetic	fallback:"AEbs'EHnSHAX
absentmindedness	phonetic	fallback:'AEbsIXntm"AYndIXdnIXs
absinthium	phonetic	fallback:"AEbs'IHnTHIYAXm
absinthol	phonetic	fallback:'AEbsIXnTH"AAl
absolutisation	phonetic	fallback:"AEbsAXlUWDXIXz'EYSHAXn
absolutistic	phonetic	fallback:"AEbsAXlUWt'IHstIXk
absolutive	phonetic	fallback:"AEbsAXl'UWDXIXv
absolutization	phonetic	fallback:"AEbsAXlUWDXIXz'EYSHAXn
absolutize	phonetic	fallback:'AEbsAXlUWt"AYz
absorbition	phonetic	fallback:AXbz"AArb'IHSHIXn
absorptance	phonetic	fallback:AXbs'AArptIXns
absorptiometer	phonetic	fallback:AXbs"AArptIY'AAmIXDXER
absorptiometric	phonetic	fallback:AXbs"AArptIYAXm'EHtrIXk
absorptivity	phonetic	fallback:AXbs"AArpt'IHvIXDXIY
absquatulate	phonetic	fallback:"AEbskw'AAtSHIXl"EYt
absquatulation	phonetic	fallback:AEbskw"AAtSHIXl'EYSHIXn
absterge	phonetic	fallback:AXbst'ERdZH
absterse	phonetic	fallback:AXbst'ERs
abstersive	phonetic	fallback:AXbst'ERzIXv
abstractitis	phonetic	fallback:"AEbstr"AEkt'AYDXIXs
absurdle	phonetic	fallback:AXbs'ERDXAXl
absurdum	phonetic	fallback:AXbs'ERDXAXm
ABT	text	override:ay bea tea
abubakar	phonetic	fallback:"AEbUWb'AAkER
abudu	phonetic	fallback:AXb'UWDXUW
abuelsamid	phonetic	fallback:AXb'UWlsAXmIXd
abugida	phonetic	fallback:"AEbUWg'IYDXAX
abuilding	phonetic	fallback:AXb'IHldIHNG
abulia	phonetic	fallback:"EYb'UWlIYAX
abulic	phonetic	fallback:"EYb'UWlIXk
abulomania	phonetic	fallback:AXb"UWlAXm'EYnIYAX
abumrad	phonetic	fallback:'AEbAXmr"AAd
abusage	phonetic	fallback:AXby'UWsIXdZH
abused	phonetic	fallback:AXby'UWzd
abuser	phonetic	fallback:AXby'UWzER
abusing	phonetic	fallback:AXby'UWzIHNG
abustle	phonetic	fallback:AXb'AHsAXl
abutaleb	phonetic	fallback:AXb"UWt'AAl"EHb
abxylute	phonetic	fallback:'AEbsIXl"UWt
abydos	phonetic	fallback:AXb'AYd"AAz
abyssopelagic	phonetic	fallback:AXb"IHsAXpIXl'AEdZHIXk
abélard	phonetic	fallback:'AEbAXl"AArd
acab	phonetic	fallback:'EYk"AEb
academician	phonetic	fallback:"AEkAXDXIXm'IHSHAXn
academism	phonetic	fallback:AXk'AEDXIXm"IHzAXm
academist	phonetic	fallback:AXk'AEDXIXmIXst
academize	phonetic	fallback:AXk'AEDXIXm"AYz
acadialite	phonetic	fallback:AXk'EYdIYAXl"AYt
acai	phonetic	fallback:"AAs"AA'IY
acalculia	phonetic	fallback:"EYk"AElky'UWlIYAX
acalculous	phonetic	fallback:"EYk'AElkyIXlAXs
acalepha	phonetic	fallback:"AEkAXl'IYfAX
acalephan	phonetic	fallback:"AEkAXl'IYfIXn
acalephoid	phonetic	fallback:"AEkAXl'IYf"OYd
acallosal	phonetic	fallback:"EYkAXl'OWsAXl
acalycine	phonetic	fallback:"EYk'AElIXs"IYn
acalyculate	phonetic	fallback:"EYkAXl'IHkyIXlIXt
acalypha	phonetic	fallback:"AEkAXl'IYfAX
acanonic	phonetic	fallback:"EYkAXn'AAnIXk
acanthamoeba	phonetic	fallback:AXk"AEnTHAXm'IYbAX
acanthi	phonetic	fallback:AXk'AEnTH"AY
acanthine	phonetic	fallback:AXk'AEnTHIXn
acanthocephala	phonetic	fallback:AXk"AEnTHAXs'EHfAXlAX
acanthocheilonema	phonetic	fallback:AXk"AEnTHAXk"AYlAXn'IYmAX
acanthocytoses	phonetic	fallback:AXk"AEnTHAXsAYt'OWsIYz
acanthocytosis	phonetic	fallback:AXk"AEnTHAXsAYt'OWsIXs
acantholyses	phonetic	fallback:"AEkAXnTH'AAlIXsIYz
acanthomata	phonetic	fallback:"AEkAXnTH'OWmAXDXAX
acanthopt	phonetic	fallback:'AEkAXnTH"AApt
acanthopterygian	phonetic	fallback:"AEkAXnTH"AAptAXr'IHdZHIYAXn
acanthoses	phonetic	fallback:"AEkAXnTH'OWsIYz
acapulco	phonetic	fallback:"AEkAXp'UWlkOW
acarbose	phonetic	fallback:"EYk'AArbOWs
acardia	phonetic	fallback:"EYk'AArDXIYAX
acardiac	phonetic	fallback:"EYk'AArDXIY"AEk
acardius	phonetic	fallback:"EYk'AArDXIYAXs
acari	phonetic	fallback:'AEkAXr"AY
acariases	phonetic	fallback:"AEkAXr'AYAXsIYz
acariasis	phonetic	fallback:"AEkAXr'AYAXsIXs
acaricidal	phonetic	fallback:AXk"EYrIXs'AYDXAXl
